dict_code,file,path,title_ja,title_en,compiler,date_compiled,base_text,upstream_repo,upstream_path,upstream_branch,upstream_commit,upstream_commit_date,file_version,date_published,last_modified,total_lines,comment_lines,header_row,data_rows,bytes,sha256,license,note
KTB,KTB.tsv,dicts/KTB/KTB.tsv,篆隷万象名義（高山寺本）,Tenrei Banshō Meigi (Kōsanji manuscript),空海,c. 827–835,高山寺本（崇文叢書版・NDLデジタルコレクション画像）,shikeda/HDIC,KTB.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.118,2016-09-27,2026-09-06,19017,84,1,18932,1695977,af20a5e0cfc1acd8e0ffbe9729786f72c1fdd9f4aae4aa0e33075d3c38dac8eb,CC BY-SA 4.0,
KTB,KTB_entries.txt,dicts/KTB/KTB_entries.txt,篆隷万象名義（高山寺本）,Tenrei Banshō Meigi (Kōsanji manuscript),空海,c. 827–835,高山寺本（崇文叢書版・NDLデジタルコレクション画像）,shikeda/HDIC,KTB_entries.txt,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.4.3,1994-09-25,2023-11-28,19012,80,1,18931,987675,b5279c116b7436d22cb3cb6bb1dd5b26fc53904b781a5cefee74a673fc69e9bf,CC BY-SA 4.0,KTB.tsvの見出し一覧版（注文なし）
KTB,KTB_ndl.txt,dicts/KTB/KTB_ndl.txt,篆隷万象名義（高山寺本）,Tenrei Banshō Meigi (Kōsanji manuscript),空海,c. 827–835,高山寺本（崇文叢書版・NDLデジタルコレクション画像）,shikeda/HDIC,KTB_ndl.txt,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.4,2016-09-04,2026-05-15,1878,36,1,1841,129162,e58b18a30aafad0c5df496be016602070daf4d466912a7456030e7f79eacef47,CC BY-SA 4.0,
KTB,KTB_ndl_Seal.tsv,dicts/KTB/KTB_ndl_Seal.tsv,篆隷万象名義（高山寺本）,Tenrei Banshō Meigi (Kōsanji manuscript),空海,c. 827–835,高山寺本（崇文叢書版・NDLデジタルコレクション画像）,shikeda/HDIC,KTB_ndl_Seal.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,,,,1043,0,1,1042,82760,2498644150c43fba4ac1fa5724ed22bf8d11cd1001f19f4e2f64d9f9d44b73e5,CC BY-SA 4.0,コメントヘッダーなし（版番号・日付の記載なし）。篆書掲出字のNDL IIIF座標表
TSJ,TSJ_entries.tsv,dicts/TSJ/TSJ_entries.tsv,新撰字鏡（天治本）,Shinsen Jikyō (Tenji manuscript),昌住,c. 898–901（天治本は1124年写）,天治本（宮内庁書陵部蔵；臨川書店版・六合館版・NDL画像）,shikeda/HDIC,TSJ_entries.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.85,2018-06-23,2026-09-04,24479,97,1,24381,2292177,be9054ccf4a5b503067d2d318a6cdc243e7f9db41432ba145c28ba9a44a3f030,CC BY-SA 4.0,
TSJ,TSJ_definitions.tsv,dicts/TSJ/TSJ_definitions.tsv,新撰字鏡（天治本）,Shinsen Jikyō (Tenji manuscript),昌住,c. 898–901（天治本は1124年写）,天治本（宮内庁書陵部蔵；臨川書店版・六合館版・NDL画像）,shikeda/HDIC,TSJ_definitions.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.2.63,2018-06-28,2026-09-04,20026,45,1,19980,1342560,e241b0fdc07bb7ae71b1400bbf32c6e15529f9647a4259f278c1b2dfca0a24a4,CC BY-SA 4.0,
TSJ,TSJ_wakun.tsv,dicts/TSJ/TSJ_wakun.tsv,新撰字鏡（天治本）,Shinsen Jikyō (Tenji manuscript),昌住,c. 898–901（天治本は1124年写）,天治本（宮内庁書陵部蔵；臨川書店版・六合館版・NDL画像）,shikeda/HDIC,TSJ_wakun.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.22,2026-01-17,2026-09-04,3910,81,1,3828,703420,89d4a71eae85862459aee9bce61c03e9f8ef634a76120c566b11cf968be2befd,CC BY-SA 4.0,
TSJ,TSJ_ndl.tsv,dicts/TSJ/TSJ_ndl.tsv,新撰字鏡（天治本）,Shinsen Jikyō (Tenji manuscript),昌住,c. 898–901（天治本は1124年写）,天治本（宮内庁書陵部蔵；臨川書店版・六合館版・NDL画像）,shikeda/HDIC,TSJ_ndl.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.3,2022-01-01,2022-03-27,816,26,1,789,95854,0c18c75e986a8f86c80893f5a9cd517d59daabd5c94b7e37b45f422b976f181f,CC BY-SA 4.0,NDL・国文研（新日本古典籍総合DB）画像対応表
SYP,SYP.tsv,dicts/SYP/SYP.tsv,宋本玉篇（大広益会玉篇）,Songben Yupian (Daguang Yihui Yupian),陳彭年ほか,1013,澤存堂本（中華書局1987影印）；宮内庁書陵部蔵南宋版（差異列KSY_diff・SYP_keio）,shikeda/HDIC,SYP.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,1.1.27,2015-10-20,2026-07-02,22856,46,1,22809,1507210,7a3ede1e47c7b903692919f9db198ffc1db96f8b490cc909feeea4647025a5c3,CC BY-SA 4.0,
SYP,SYP_keio.tsv,dicts/SYP/SYP_keio.tsv,宋本玉篇（大広益会玉篇）,Songben Yupian (Daguang Yihui Yupian),陳彭年ほか,1013,澤存堂本（中華書局1987影印）；宮内庁書陵部蔵南宋版（差異列KSY_diff・SYP_keio）,shikeda/HDIC,SYP_keio.tsv,master,5175d780f5f462339731806355b0f9ffa44bb55f,2026-09-06,0.0.2,2024-05-06,2024-05-08,1036,48,1,987,107312,decf7c7ae24a73cc4db3ba5aff5a53dbeb9fa4f6ee3d7af9fff542389307b4d7,CC BY-SA 4.0,宮内庁書陵部蔵南宋版のIIIF（慶應義塾大学斯道文庫提供）対応表
