# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_headword_chars.tsv
#
# Version: 1.2.11 (latest, Newly released after the specification change)
# Date published: May 11, 2025
# Last modified: September 5, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# hanzi_id	A sequential ID assigned to each headword (single or multi-character) in the order of its appearance in the Myōgishō. It consists of a 5-digit numeric ID starting with 'S'.
# entry_id	A heading item ID (from krm_main) to which this character's headword belongs, formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# constituent_char	The constituent character itself. Abbreviation marks (ー) and iteration marks (〻) are converted to the actual characters they represent. Collated characters are, in principle, Kangxi Dictionary forms; the handling of Unicode new character forms (common-use forms, popular variants) is specified separately. For detailed collation notes, refer to krm_notes."
# character_order	Indicates the numerical order of appearance of the character within its headword entry.
# kazama_location_id	An ID indicating the location of this character in the Kazama Edition: K + Volume (2 digits) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# tenri_location_id	An ID indicating the location of this character in the Tenri Edition: T + Volume (a/b/c) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# img_file_name	File name of the headword character image (including the .jpg extension). The main part of the file name consists of a 7-digit number for images from Volume 1 to Volume 9, and an 8-digit number for images from Volume 10. For 7-digit numbers, the first digit indicates the volume number; for 8-digit numbers, the first two digits indicate Volume 10. The last 6 digits are based on the order of appearance, assigned according to a unique internal rule. Detailed documentation for this naming convention is not available as the work was completed over two decades ago. Null if no image is available.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
hanzi_id	entry_id	constituent_char	character_order	kazama_location_id	tenri_location_id	img_file_name
S00001	F00001	人	1	K01001310	Ta023310	1008110.jpg
S00002	F00002	一	1	K01001331	Ta023331	1008131.jpg
S00003	F00002	人	2	K01001332	Ta023332	1008132.jpg
S00004	F00003	二	1	K01001341	Ta023341	1008141.jpg
S00005	F00003	人	2	K01001342	Ta023342	1008142.jpg
S00006	F00004	五	1	K01001411	Ta023411	1008211.jpg
S00007	F00004	人	2	K01001412	Ta023412	1008212.jpg
S00008	F00005	人	1	K01001421	Ta023421	1008221.jpg
S00009	F00005	等	2	K01001422	Ta023422	1008222.jpg
S00010	F00006	湯	1	K01001431	Ta023431	1008231.jpg
S00011	F00006	人	2	K01001432	Ta023432	1008232.jpg
S00012	F00007	真	1	K01001441	Ta023441	1008241.jpg
S00013	F00007	人	2	K01001442	Ta023442	1008242.jpg
S00014	F00008	漁	1	K01001511	Ta023511	1008311.jpg
S00015	F00008	人	2	K01001512	Ta023512	1008312.jpg
S00016	F00009	海	1	K01001521	Ta023521	1008321.jpg
S00017	F00009	人	2	K01001522	Ta023522	1008322.jpg
S00018	F00010	盗	1	K01001531	Ta023531	1008331.jpg
S00019	F00010	人	2	K01001532	Ta023532	1008332.jpg
S00020	F00011	不	1	K01001541	Ta023541	1008341.jpg
S00021	F00011	良	2	K01001542	Ta023542	1008342.jpg
S00022	F00011	人	3	K01001543	Ta023543	1008343.jpg
S00023	F00012	毛	1	K01001611	Ta023611	1008411.jpg
S00024	F00012	人	2	K01001612	Ta023612	1008412.jpg
S00025	F00013	白	1	K01001621	Ta023621	1008421.jpg
S00026	F00013	人	2	K01001622	Ta023622	1008422.jpg
S00027	F00014	桃	1	K01001631	Ta023631	1008431.jpg
S00028	F00014	人	2	K01001632	Ta023632	1008432.jpg
S00029	F00015	人	1	K01001641	Ta023641	1008441.jpg
S00030	F00015	參	2	K01001642	Ta023642	1008442.jpg
S00031	F00016	佛	1	K01001710	Ta023710	1008510.jpg
S00032	F00017	仏	1	K01001740	Ta023740	1008540.jpg
S00033	F00018	仿	1	K01001811	Ta023811	1008611.jpg
S00034	F00018	佛	2	K01001812	Ta023812	1008612.jpg
S00035	F00019	㑂	1	K01001840	Ta023840	1008640.jpg
S00036	F00020	仿	1	K01002111	Ta024111	1009111.jpg
S00037	F00020	像	2	K01002112	Ta024112	1009112.jpg
S00038	F00021	㐻	1	K01002120	Ta024120	1009120.jpg
S00039	F00022	僧	1	K01002130	Ta024130	1009130.jpg
S00040	F00023	傮	1	K01002210	Ta024210	1009210.jpg
S00041	F00024	⿰亻胃	1	K01002220	Ta024220	1009220.jpg
S00042	F00025	倡	1	K01002230	Ta024230	1009230.jpg
S00043	F00026	倡	1	K01002311	Ta024311	1009311.jpg
S00044	F00026	導	2	K01002312	Ta024312	1009312.jpg
S00045	F00027	倡	1	K01002321	Ta024321	1009321.jpg
S00046	F00027	女	2	K01002322	Ta024322	1009322.jpg
S00047	F00028	侶	1	K01002330	Ta024330	1009330.jpg
S00048	F00029	㐰	1	K01002410	Ta024410	1009410.jpg
S00049	F00030	伿	1	K01002420	Ta024420	1009420.jpg
S00050	F00031	佋	1	K01002430	Ta024430	1009430.jpg
S00051	F00032	偘	1	K01002511	Ta024511	1009511.jpg
S00052	F00032	侃	2	K01002512	Ta024512	1009512.jpg
S00053	F00033	仁	1	K01002610	Ta024610	1009610.jpg
S00054	F00034	不	1	K01002641	Ta024641	1009641.jpg
S00055	F00034	仁	2	K01002642	Ta024642	1009642.jpg
S00056	F00035	仜	1	K01002710	Ta024710	1009710.jpg
