# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_pronunciations.tsv
#
# Version: 1.2.13 (latest, DHSJR format)
# Date published: May 20, 2025
# Last modified: August 18, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# The Phonetic Glosses in the Kanchi-in manuscript of the Ruiju Myōgishō include Fanqie spellings (反切), Similar sound notes (類音注, ruion-chū), and Kana glosses (仮名注, kana-chū). 
# These are often accompanied by Tone marks (声点, shōten).
# As a database for Sino-Japanese pronunciations, the "Database of Historical Sino-Japanese Readings" (abbreviated as DHSJR), developed by Professor Katō Taitsuru and others, offers exceptionally rich content. 
# Its specifications are also publicly available in detail. 
# Accordingly, as part of the HDIC project, we have decided to release data in accordance with the DHSJR specifications.
#
# The DHSJR defines a data structure with 23 column names.
# To facilitate linkage with the Ruiju Myōgishō data included in HDIC, it is necessary for HDIC to assign unique column names to its own data files and to establish Primary Keys and Foreign Keys for interoperability between HDIC's internal data files.
# For this purpose, pronunciation_id (音注ID) has been set as the Primary Key, and definition_seq_id (注文ID) as the Foreign Key.
# Since the Ruiju Myōgishō features diverse formats for its Phonetic Glosses, a classification field named annotation_format (音注型) has been established to categorize them.
# While DHSJR uses Japanese column names, HDIC employs English ones. Therefore, for data processing convenience within HDIC, English column names have been adopted.
#
# KRM format information:
# dhsjr_id	DHSJR unique ID for each single Hanzi (Chinese character) (integrated data only).
# 	       (This column is currently empty. The data will be added once the official IDs are finalized by the DHSJR project.)
# pronunciation_id	ID for each Phonetic Gloss. This is derived from definition_seq_id by extracting only those elements where the type (from definition_type_name in krm_notes) is Phonetic Gloss. Suffixes 'b', 'c', 'd' are appended for variant forms.
# definition_seq_id	An identifier for each component of the Definition (Original Glosses) or for the Headword itself within an Entry. It is formed by appending a sequential suffix (e.g., "_00" for the Headword, "_01", "_02" for subsequent elements) to the corresponding entry_id.
# material_id	Material ID
# material_name	Name of the material
# material_character_index	Sequential number of a Hanzi (Chinese character)'s appearance in the material.
#                           Numbers 1–27978 correspond to the physical order of characters in the original manuscript.
#                           Numbers 30001 and above are assigned to records added after the initial encoding
#                           (e.g., annotation characters newly identified as requiring separate entries)
#                           and do not correspond to physical positions in the manuscript.
# material_word_index	Sequential number of a Chinese word's appearance in the material
# character_headword	Headword column for Hanzi (Chinese characters) with Phonetic Glosses
# character_form	Hanzi (Chinese characters) that have Phonetic Glosses
# word_headword	Headword column of Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_form	Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_alpha	Entered when there is an alphabetic representation of the Chinese word
# word_type	Indicates the word type when there are mixed-language words (e.g., hybrid Sino-Japanese words)
# word_position	Position of the single Hanzi (Chinese character) within the Chinese word
# character_mora_count	Number of morae for the single Hanzi (Chinese character)
# tone_marks	Tone marks for single Hanzi (Chinese characters), indicating Four Tones (平上去入), Six Tones (平平軽上去入軽入), and voicing (清濁).
# tone_pattern	Combination of Tone marks for Chinese words. Hanzi (Chinese characters) without Tone marks are represented by a full-width asterisk (＊).
# kana_notes	Kana glosses (仮名注) for Hanzi (Chinese characters), including kana-based fanqie.
# kana_pattern	Combination of Kana glosses for Chinese words. Hanzi (Chinese characters) without Kana glosses are represented by a full-width asterisk (＊).
# fanqie	Fanqie spellings (反切) for single Hanzi (Chinese characters).
# similar_sound	Similar sound notes (類音注) for single Hanzi (Chinese characters).
# annotation_format	Pattern of combined phonetic information (e.g., Kana glosses, Fanqie spellings, Similar sound notes, Tone marks).
# fushi_hakase	Fushi-hakase notations (melodic or intonational markings) attached to musical materials such as Shōmyō (Buddhist chant).
# other_phonetic_annotations	Other types of Phonetic Glosses.
# material_location	Location of single Hanzi (Chinese characters) and Chinese words within the material.
# remarks_pronunciation	Matters to be noted regarding these phonetic elements.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
pronunciation_id	definition_seq_id	material_id	material_name	material_character_index	material_word_index	character_headword	character_form	word_headword	word_form	word_alpha	word_type	word_position	character_mora_count	tone_marks	tone_pattern	kana_notes	kana_pattern	fanqie	similar_sound	fushi_hakase	other_phonetic_annotations	material_location	annotation_format	remarks_pronunciation
F00001_01	F00001_01	30-048-02	類聚名義抄_天理図書館_観智院本	1	1	人	人	人	人					平濁	平濁	ニン	ニン		音仁（平濁）「ニン」			K0100131	音注声点有_類音注等	
F00001_01b	F00001_01	30-048-02	類聚名義抄_天理図書館_観智院本	2	1	仁	仁	仁	仁					平濁	平濁	ニン	ニン		音仁（平濁）「ニン」			K0100131	音注声点有_類音注等	音注字
F00016_01	F00016_01	30-048-02	類聚名義抄_天理図書館_観智院本	3	3	佛	佛	佛	佛					去	去	ヒ	ヒ		音費（去）「ヒ」			K0100171	音注声点有_類音注等	
F00016_01b	F00016_01	30-048-02	類聚名義抄_天理図書館_観智院本	4	3	費	費	費	費					去	去	ヒ	ヒ		音費（去）「ヒ」			K0100171	音注声点有_類音注等	音注字
F00016_03	F00016_03	30-048-02	類聚名義抄_天理図書館_観智院本	5	3	佛	佛	佛	佛									又符「フ」弗（入）「フツ」反				K0100171	音注声点有_反切	
F00016_03b	F00016_03	30-048-02	類聚名義抄_天理図書館_観智院本	6	3	符	符	符	符							フ	フ					K0100171	音注声点有_反切	
F00016_03c	F00016_03	30-048-02	類聚名義抄_天理図書館_観智院本	7	3	弗	弗	弗	弗					入	入	フツ	フツ					K0100171	音注声点有_反切	
F00016_07	F00016_07	30-048-02	類聚名義抄_天理図書館_観智院本	8	3	佛	佛	佛	佛					入	入				又音弼（入）「ヒチ」			K0100171	音注声点有_類音注等	
F00016_07b	F00016_07	30-048-02	類聚名義抄_天理図書館_観智院本	9	3	弼	弼	弼	弼					入	入	ヒチ	ヒチ		又音弼（入）「ヒチ」			K0100171	音注声点有_類音注等	音注字
F00016_09	F00016_09	30-048-02	類聚名義抄_天理図書館_観智院本	10	3	佛	佛	佛	佛							和音部ツ						K0100171	音注和音声点無	
F00018_02	F00018_02	30-048-02	類聚名義抄_天理図書館_観智院本	11	8	仿	仿	仿佛	仿佛			1						芳往反				K0100181	音注声点無_反切	
F00018_08	F00018_08	30-048-02	類聚名義抄_天理図書館_観智院本	12	8	佛	佛	仿佛	仿佛			2							音費			K0100181	音注声点無_類音注等	
F00021_01	F00021_01	30-048-02	類聚名義抄_天理図書館_観智院本	13	9	㐻	㐻	㐻	㐻					去／＊	去／＊				内（去）「タイ」納二音			K0100212	音注声点有_類音注等	
F00021_01b	F00021_01	30-048-02	類聚名義抄_天理図書館_観智院本	14	9	内	内	内	内					去	去	タイ			内（去）「タイ」納二音			K0100212	音注声点有_類音注等	音注字
F00022_01	F00022_01	30-048-02	類聚名義抄_天理図書館_観智院本	15	11	僧	僧	僧	僧									蘇曽（平軽）反				K0100213	音注声点有_反切	
F00022_01b	F00022_01	30-048-02	類聚名義抄_天理図書館_観智院本	16	11	曽	曽	曽	曽					平軽	平軽							K0100213	音注声点有_反切	
F00022_05	F00022_05	30-048-02	類聚名義抄_天理図書館_観智院本	17	11	僧	僧	僧	僧					平平N	平平N	和音ソウ						K0100213	音注和音声点有	
F00023_01	F00023_01	30-048-02	類聚名義抄_天理図書館_観智院本	18	13	傮	傮	傮	傮					平／平	平／平				遭（平）「サウ」曹（平）「サウ」二音			K0100221	音注声点有_類音注等	
F00023_01b	F00023_01	30-048-02	類聚名義抄_天理図書館_観智院本	19	13	遭	遭	遭	遭					平	平	サウ			遭（平）「サウ」曹（平）「サウ」二音			K0100221	音注声点有_類音注等	音注字
F00023_01c	F00023_01	30-048-02	類聚名義抄_天理図書館_観智院本	20	13	曹	曹	曹	曹					平	平	サウ			遭（平）「サウ」曹（平）「サウ」二音			K0100221	音注声点有_類音注等	音注字
F00024_01	F00024_01	30-048-02	類聚名義抄_天理図書館_観智院本	21	16	⿰亻胃	⿰亻胃	⿰亻胃	⿰亻胃					去	去				音謂（去）「ヰ」			K0100222	音注声点有_類音注等	
F00024_01b	F00024_01	30-048-02	類聚名義抄_天理図書館_観智院本	22	16	謂	謂	謂	謂					去	去	ヰ			音謂（去）「ヰ」			K0100222	音注声点有_類音注等	音注字
F00025_01	F00025_01	30-048-02	類聚名義抄_天理図書館_観智院本	23	18	倡	倡	倡	倡					上	上				音昌（上）			K0100223	音注声点有_類音注等	
F00025_01b	F00025_01	30-048-02	類聚名義抄_天理図書館_観智院本	24	18	昌	昌	昌	昌					上	上				音昌（上）			K0100223	音注声点有_類音注等	音注字
F00028_01	F00028_01	30-048-02	類聚名義抄_天理図書館_観智院本	25	20	侶	侶	侶	侶					上	上				音呂（上）			K0100233	音注声点有_類音注等	
F00028_01b	F00028_01	30-048-02	類聚名義抄_天理図書館_観智院本	26	20	呂	呂	呂	呂					上	上				音呂（上）			K0100233	音注声点有_類音注等	音注字
F00028_04	F00028_04	30-048-02	類聚名義抄_天理図書館_観智院本	27	20	侶	侶	侶	侶					上上	上上	和音リヨ						K0100233	音注和音声点有	
